"Alsace","Bas-Rhin","67","63","Bust","67320","67071","48.83","7.23528","254"
"Alsace","Bas-Rhin","67","64","Buswiller","67350","67068","48.8203","7.55917","102"
"Alsace","Bas-Rhin","67","65","Butten","67430","67072","48.9711","7.22111","375"
"Alsace","Bas-Rhin","67","66","Bœrsch","67530","67052","48.4772","7.44083","0"
"Alsace","Bas-Rhin","67","67","Bœsenbiesen","67390","67053","48.2281","7.56306","0"
"Alsace","Bas-Rhin","67","68","Châtenois","67730","67073","48.2819","7.38167","2129"
"Alsace","Bas-Rhin","67","69","Cleebourg","67160","67074","49.0028","7.89111","362"
"Alsace","Bas-Rhin","67","70","Climbach","67510","67075","49.0189","7.85111","257"
"Alsace","Bas-Rhin","67","71","Colroy-la-Roche","67420","67076","48.3894","7.18389","280"
"Alsace","Bas-Rhin","67","72","Cosswiller","67310","67077","48.6308","7.40028","295"
"Alsace","Bas-Rhin","67","73","Crastatt","67310","67078","48.6592","7.42694","103"
"Alsace","Bas-Rhin","67","74","Crœttwiller","67470","67079","48.9319","8.03306","0"
"Alsace","Bas-Rhin","67","75","Dachstein","67120","67080","48.5611","7.5325","764"
"Alsace","Bas-Rhin","67","76","Dahlenheim","67310","67081","48.5856","7.50694","335"
"Alsace","Bas-Rhin","67","77","Dalhunden","67770","67082","48.7753","7.98917","522"
"Alsace","Bas-Rhin","67","78","Dambach","67110","67083","49.0022","7.63083","432"
"Alsace","Bas-Rhin","67","79","Dambach-la-Ville","67650","67084","48.3231","7.42694","1066"
"Alsace","Bas-Rhin","67","80","Dangolsheim","67310","67085","48.5708","7.46778","305"
"Alsace","Bas-Rhin","67","81","Daubensand","67150","67086","48.3469","7.72333","187"
"Alsace","Bas-Rhin","67","82","Dauendorf","67350","67087","48.8308","7.655","795"
"Alsace","Bas-Rhin","67","83","Dehlingen","67430","67088","48.9806","7.19167","191"
"Alsace","Bas-Rhin","67","84","Dettwiller","67490","67089","48.7539","7.46889","1451"
"Alsace","Bas-Rhin","67","85","Diebolsheim","67230","67090","48.2894","7.665","325"
"Alsace","Bas-Rhin","67","86","Diedendorf","67260","67091","48.8794","7.04583","173"
"Alsace","Bas-Rhin","67","87","Dieffenbach-au-Val","67220","67092","48.3128","7.3275","315"
"Alsace","Bas-Rhin","67","88","Dieffenbach-lès-Wœrth","67360","67093","48.9336","7.77944","0"
"Alsace","Bas-Rhin","67","89","Dieffenthal","67650","67094","48.3106","7.41833","133"
"Alsace","Bas-Rhin","67","90","Diemeringen","67430","67095","48.9403","7.18722","907"
"Alsace","Bas-Rhin","67","91","Dimbsthal","67440","67096","48.6725","7.35861","160"
"Alsace","Bas-Rhin","67","92","Dingsheim","67370","67097","48.6294","7.66833","634"
"Alsace","Bas-Rhin","67","93","Dinsheim-sur-Bruche","67190","67098","48.5431","7.42722","684"
